Year,Artist,Title,Category,Award
2023,Anne Hytta,Brigde,TONOs komponistpris,Ja
2023,Lemur,Critical Bands,Samtid,Nei
2023,Lars Vaular,Vintage Velour,Årets Låtskriver,Nei
2023,Rambow,VI TENKER IKKE LIKT,Årets Musikkvideo,Nei
2023,Rambow,Mager Men Metter Mager [BONUS],Hiphop,Nei
2023,Ingrid Olava Brænd Eriksen,Blomster og Post,Årets Tekstforfatter,Nei
2023,Ingrid Olava,Blomster Og Post,Viser og visepop,Ja
2023,Stian Westerhus,Stian Westerhus,TONOs komponistpris,Nei
2023,Vetle Junker,,Årets Produsent,Nei
2023,Mikrokosmos,Kanskje en verden vi ikke vet om,Barnemusikk,Nei
2023,Pil & Bue,Special Agents,Rock,Nei
2023,Women in Blues / Rita Engedalen / Margit Bakken,My Precious Blues,Blues,Nei
2023,Sweetheart,I Will Love You When The Morning Comes,Country,Ja
2023,Harald Lassen,Balans,Jazz,Ja
2023,HILLARI,How Is Your Soul?,Rnb/Soul,Nei
2023,Det Norske Solistkor / Ensemble Allegria / Grete Pedersen,Bent Sørensen: St Matthew Passion,Samtid,Nei
2023,Oda Felicia,FIRST ACT (The Huntington Chorea Project),Alternativ pop/rock,Ja
2023,Norma,Norma,Country,Nei
2023,Jouska,Suddenly My Mind Is Blank,Elektronika,Ja
2023,Ea Othilde,"Mary, Aren't You Tired?",Alternativ pop/rock,Nei
2023,Hudkreft,Osyo by,Rock,Nei
2023,Kåre Nordstoga,Masterworks from the 1930s,Klassisk,Nei
2023,RUÏM,Black Royal Spiritism - 1 - O Sino da Igreja,Metal,Ja
2023,Gouldian Finch,The Flamingo,Årets Musikkvideo,Nei
2023,Stein Torleif Bjella,Nysetmåne,Viser og visepop,Nei
2023,Stein Torleif Bjella,Nysetmåne,Årets Tekstforfatter,Nei
2023,Synnøve Brøndbo Plassen,Den Lyse Dag,Tradisjonsmusikk,Nei
2023,Ole Kirkeng,Still Not Lost,Country,Nei
2023,Signe Marie Rustad,Particles of Faith,Alternativ pop/rock,Nei
